Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,,
Austria,0.28,0.35,0.33,0.33,0.34,0.38,0.35,0.36,0.30,0.22,-2.8%,,,
Belgium,2.63,2.71,2.76,2.73,2.75,2.51,2.51,2.60,2.50,2.54,-0.4%,,,
Bulgaria,0.00,0.00,0.00,0.00,0.10,0.11,0.02,0.01,0.01,0.01,40.7%,,,
Croatia,0.68,0.72,0.78,0.83,0.88,0.73,0.84,0.92,0.91,1.04,4.8%,,,
Cyprus,,,,,,,,,,,N/A,,,
Czechia,1.15,1.34,1.48,1.12,,,,,,1.08,N/A,,,
Denmark,0.78,0.76,0.67,0.73,0.73,0.58,0.47,0.61,0.64,0.67,-1.7%,,,
Estonia,0.76,0.75,0.75,0.77,0.77,0.54,0.55,0.56,0.45,0.56,-3.4%,,,
Finland,2.14,2.04,1.97,1.84,1.72,1.51,1.49,1.30,1.22,1.15,-6.7%,,,
France,0.46,0.45,0.41,0.46,0.45,0.51,0.44,0.45,0.38,0.43,-0.7%,,,
Germany,0.52,0.53,0.55,0.52,0.51,0.48,0.47,0.51,0.52,0.47,-1.2%,,,
Greece,0.55,0.67,0.67,0.77,0.84,0.92,0.90,0.80,0.77,0.84,4.9%,,,
Hungary,0.21,0.25,0.26,0.21,0.09,0.09,0.27,0.30,0.29,0.29,3.6%,,,
Iceland,,,0.89,0.97,1.21,1.31,1.08,1.13,0.98,1.18,4.1%,,,
Ireland,0.04,0.04,0.03,0.04,0.04,0.03,1.36,1.40,1.40,1.37,47.9%,,,
Italy,0.68,0.70,0.71,0.71,0.70,0.65,0.68,0.74,0.75,0.80,1.8%,,,
Latvia,0.26,0.29,0.33,0.33,0.30,0.71,0.69,0.74,0.78,0.83,13.6%,,,
Lithuania,1.33,1.37,1.44,1.42,1.43,1.17,1.15,1.28,1.41,1.30,-0.2%,,,
Luxembourg,1.31,1.31,1.28,1.27,1.23,1.78,1.44,1.45,1.40,1.46,N/A,,,
Malta,0.34,0.40,0.48,0.99,0.31,0.40,0.48,0.55,0.84,0.71,8.5%,,,
Netherlands,1.43,1.43,1.47,1.47,1.47,1.45,1.45,1.40,1.34,1.34,-0.7%,,,
Norway,3.29,3.40,3.58,3.74,3.87,3.94,3.94,3.28,3.85,3.92,2.0%,,,
Poland,2.87,3.45,3.55,3.88,2.62,4.32,2.92,4.35,4.31,4.44,5.0%,,,
Portugal,1.44,1.00,1.10,1.13,1.15,1.13,1.24,1.29,1.27,1.30,-1.1%,,,
Romania,,,,,,,,0.18,0.12,0.11,N/A,,,
Slovakia,0.03,0.05,0.06,0.06,0.08,0.05,0.06,0.07,0.07,0.07,9.7%,,,
Slovenia,0.11,0.19,0.26,0.36,0.36,0.40,0.36,0.49,0.47,0.54,18.8%,,,
Spain,0.41†,0.44†,0.46†,0.47†,0.51,0.48,0.50,0.51,0.48,0.52,N/A,,,
Sweden,1.62,1.61,1.60,1.59,1.56,1.52,1.50,1.28,1.20,1.17,-3.6%,,,
EU/EEA* ,0.88,0.94,0.96,0.99,0.88,1.01,0.90,1.04,1.00,1.03,0.0%,,,
United Kingdom,0.85,0.96,0.96,1.01,1.05,1.20,1.29,1.24,,,N/A,,,
Crude EU/EEA**,0.91,0.98,0.99,1.02,0.93,1.06,0.98,1.06,1.01,1.03,N/A,,,
