Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,"Time series
2012-2021",Trend,Compound annual growth rate (CAGR)
Austria,,,,,,,,4.41,5.1,5.99,,N/A,N/A
Belgium,0.84,0.99,1.03,0.93,1.01,0.97,0.97,0.92,0.99,0.96,,-,1.50%
Bulgaria,0.16,0.19,0.26,0.19,0.17,0.16,0.16,0.32,0.58,0.67,,↑,17.20%
Croatia,0.88,0.42,0.91,0.86,0.92,1.19,1.19,1.58,2.16,3.6,,↑,17.00%
Czechia,,,,,,,,,,1.77,,N/A,N/A
Denmark,0.69,0.54,0.58,0.62,0.64,0.65,0.91,0.83,0.81,0.59,,-,-1.70%
Estonia,0.31,0.19,0.36,0.45,0.58,0.84,1.01,1.32,1.09,1.26,,↑,16.90%
Finland (a),0.47,0.51,0.49,0.5,0.51,0.51,0.57,0.55,0.55,0.6,,↑,2.70%
France,0.92,1.28,1.59,1.61,1.58,1.85,2.33,2.71,3.82,3.57,,↑,16.30%
Greece,6.67,6.28,6.31,6.05,5.99,6.87,9.64,11.26,12.06,15.53,,↑,9.80%
Hungary,0.18,0.25,0.26,0.31,0.41,0.44,0.51,0.52,0.67,1.06,,↑,21.70%
Iceland,,,,,,0.93,0.68,0.45,0.7,0.76,,N/A,N/A
Ireland,1.96,3.16,3.92,2.42,2.32,2.33,2.71,2.84,3.6,3.4,,-,6.30%
Italy,1.84,2.03,2.42,2.44,2.99,3.38,3.41,4.49,3.9,4.87,,↑,11.40%
Latvia,0.18,0.23,0.46,0.39,0.59,0.73,0.64,0.77,0.54,1.08,,↑,22.00%
Lithuania,0.49,0.84,0.98,1.31,1.61,1.75,2.47,3.02,4.33,1.08,,↑,9.20%
Luxembourg,1.28,1.14,1.05,1.74,1.88,1.82,1.87,2.76,2.82,3.16,,N/A,N/A
Malta,0.19,0.42,0.77,0.51,0.36,0.51,1.53,0.57,0.67,1.15,,-,22.20%
Netherlands,0.4,0.48,0.41,0.51,0.46,0.44,0.55,0.56,0.4,0.61,,-,4.80%
Norway,0.36,0.33,0.32,0.35,0.39,0.4,0.49,0.51,0.54,0.58,,↑,5.40%
Poland,,,0.27,0.78,1.01,0.76,1.55,1.01,1.36,1.55,,↑,28.20%
Portugal,3.21,3.03,3.18,3.53,3.53,3.9,4.36,4.56,4.98,5.1,,↑,5.30%
Romania,,,,,,,,1.62,2.47,3.42,,N/A,N/A
Slovakia,0.6,0.78,0.8,0.76,0.78,1.33,1.19,1.53,1.76,2.86,,↑,18.90%
Slovenia,0.37,0.4,0.7,0.94,0.87,0.88,0.89,0.96,1.15,2.38,,↑,23.00%
Spain,,,,,7.09,7.53,7.79,9.56,10.69,11.53,,N/A,N/A
Sweden,0.21,0.28,0.41,0.36,0.5,0.49,0.62,1.38,2.05,4.32,,↑,39.90%
EU/EEA**,1.36,1.51,1.74,1.73,1.87,2.11,2.42,2.93,3.22,3.69,,↑,11.70%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"*Agents included in this analysis: antibacterials for systemic use, neomycin, streptomycin, polymyxin B, kanamycin, vancomycin, colistin, rifamixin, fidaxomicin, rifamycin, rifampicin, rifamycin, rifabutin, metronidazole, tinidazole, ornidazole and secnidazole. Consumption of ‘Unclassified’ mainly consisted of benzathine phenoxymethylpenicillin, combinations of benzylpenicillin/procaine-benzylpenicillin/benzathine-benzylpenicillin and methenamine.",,,,,,,,,,,,,
All country data are shown as they are reported to The European Surveillance System. ,,,,,,,,,,,,,
,Hospital sector data not reported,,,,,,,,,,,,
(a) Finland: data include consumption in remote primary healthcare centres and nursing homes.,,,,,,,,,,,,,
** EU/EEA refers to the population-weighted mean consumption based on reported or imputed antimicrobial consumption data from the 21 EU/EEA countries that reported hospital sector data for all 10 years included.,,,,,,,,,,,,,
"N/A = Not applicable. Trend analyses was not performed and CAGR not calculated because of missing data, changes in the type of data or change in data process.",,,,,,,,,,,,,
"Luxembourg changed data process in 2020, which could impact comparability with previous years.",,,,,,,,,,,,,
"For details, please refer to the Methods chapter. ",,,,,,,,,,,,,
